TaxonOriginal,TaxonFloraVeg,Status,RegionFloraVeg,TaxonKaplan
Artemisia repens,,LC(NA),Czechia,Artemisia repens
Artemisia scoparia,Artemisia scoparia,EN,Czechia,Artemisia scoparia
Artemisia siversiana,Artemisia siversiana,LC(NA),Czechia,Artemisia siversiana
Artemisia tournefortiana,Artemisia tournefortiana,LC(NA),Czechia,Artemisia tournefortiana
Artemisia verlotiorum,Artemisia verlotiorum,LC(NA),Czechia,Artemisia verlotiorum
Artemisia vulgaris,Artemisia vulgaris,LC(NA),Czechia,Artemisia vulgaris
Arum cylindraceum,Arum cylindraceum,NT,Czechia,Arum cylindraceum
Arum cylindraceum,,NT,Czechia,Arum cylindraceum
Arum maculatum,Arum maculatum,NT,Czechia,Arum maculatum
Aruncus dioicus,Aruncus dioicus,LC,Czechia,Aruncus dioicus
Arundo donax,,LC(NA),Czechia,Arundo donax
Asarum europaeum,Asarum europaeum subsp. caucasicum,LC(NA),Czechia,Asarum europaeum
Asarum europaeum,Asarum europaeum subsp. europaeum,LC(NA),Czechia,Asarum europaeum
Asarum europaeum,Asarum europaeum,LC(NA),Czechia,Asarum europaeum
Asclepias syriaca,Asclepias syriaca,LC(NA),Czechia,Asclepias syriaca
Asparagus officinalis,Asparagus officinalis,LC(NA),Czechia,Asparagus officinalis
Asparagus verticillatus,,LC(NA),Czechia,Asparagus verticillatus
Asperugo procumbens,Asperugo procumbens,NT,Czechia,Asperugo procumbens
Asperula arvensis,Asperula arvensis,RE,Czechia,Asperula arvensis
Asperula cynanchica,Asperula cynanchica,LC(NA),Czechia,Asperula cynanchica
Asperula orientalis,Asperula orientalis,LC(NA),Czechia,Asperula orientalis
Asperula tinctoria,Asperula tinctoria,NT,Czechia,Asperula tinctoria
Asperula tinctoria subsp. hungarorum,,DD,Czechia,Asperula tinctoria subsp. hungarorum
Asperula tinctoria subsp. tinctoria,,NT,Czechia,Asperula tinctoria subsp. tinctoria
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,CR,Czechia,Asplenium adiantum-nigrum
Asplenium adulterinum,Asplenium adulterinum subsp. adulterinum,VU,Czechia,Asplenium adulterinum
Asplenium adulterinum,Asplenium adulterinum,VU,Czechia,Asplenium adulterinum
Asplenium ceterach,,CR,Czechia,Asplenium ceterach
Asplenium ceterach,Asplenium ceterach subsp. ceterach,CR,Czechia,Asplenium ceterach
Asplenium ceterach,Asplenium ceterach,CR,Czechia,Asplenium ceterach
Asplenium ceterach subsp. ceterach,,CR,Czechia,Asplenium ceterach subsp. ceterach
Asplenium cuneifolium,Asplenium adiantum-nigrum subsp. serpentini,VU,Czechia,Asplenium cuneifolium
Asplenium ruta-muraria,Asplenium ruta-muraria,LC(NA),Czechia,Asplenium ruta-muraria
Asplenium scolopendrium,,VU,Czechia,Asplenium scolopendrium
Asplenium scolopendrium subsp. scolopendrium,Asplenium scolopendrium,VU,Czechia,Asplenium scolopendrium subsp. scolopendrium
Asplenium septentrionale,Asplenium septentrionale,LC(NA),Czechia,Asplenium septentrionale
Asplenium trichomanes subsp. hastatum,Asplenium trichomanes subsp. hastatum,EN,Czechia,Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. pachyrachis,Asplenium trichomanes subsp. pachyrachis,NT,Czechia,Asplenium trichomanes subsp. pachyrachis
Asplenium viride,Asplenium viride,NT,Czechia,Asplenium viride
Aster alpinus,Aster alpinus,EN,Czechia,Aster alpinus
Aster amellus,Aster amellus,NT,Czechia,Aster amellus
Aster amellus subsp. amellus,,NT,Czechia,Aster amellus subsp. amellus
Aster amellus subsp. bessarabicus,,NT,Czechia,Aster amellus subsp. bessarabicus
Astragalus alopecurus,,LC(NA),Czechia,Astragalus alopecurus
Astragalus arenarius,Astragalus arenarius,CR,Czechia,Astragalus arenarius
Astragalus asper,Astragalus asper,RE,Czechia,Astragalus asper
Astragalus austriacus,Astragalus austriacus,NT,Czechia,Astragalus austriacus
Astragalus cicer,Astragalus cicer,LC(NA),Czechia,Astragalus cicer
Astragalus danicus,Astragalus danicus,NT,Czechia,Astragalus danicus
Astragalus exscapus,Astragalus exscapus,EN,Czechia,Astragalus exscapus
Astragalus glycyphylloides,Astragalus glycyphylloides,LC(NA),Czechia,Astragalus glycyphylloides
Astragalus glycyphyllos,Astragalus glycyphyllos,LC(NA),Czechia,Astragalus glycyphyllos
Astragalus onobrychis,Astragalus onobrychis,NT,Czechia,Astragalus onobrychis
Astragalus sulcatus,Astragalus sulcatus,LC(NA),Czechia,Astragalus sulcatus
Astrantia major,Astrantia major,LC(NA),Czechia,Astrantia major
Astrodaucus orientalis,Astrodaucus orientalis,LC(NA),Czechia,Astrodaucus orientalis
Athyrium distentifolium,Athyrium distentifolium,LC(NA),Czechia,Athyrium distentifolium
Athyrium filix-femina,Athyrium filix-femina,LC(NA),Czechia,Athyrium filix-femina
Atocion armeria,Silene armeria,LC(NA),Czechia,Atocion armeria
Atocion rupestre,Silene rupestris,RE,Czechia,Atocion rupestre
Atriplex hortensis,Atriplex hortensis,LC(NA),Czechia,Atriplex hortensis
Atriplex littoralis,Atriplex littoralis,LC(NA),Czechia,Atriplex littoralis
Atriplex micrantha,Atriplex micrantha,LC(NA),Czechia,Atriplex micrantha
Atriplex oblongifolia,Atriplex oblongifolia,LC(NA),Czechia,Atriplex oblongifolia
Atriplex patula,Atriplex patula,LC(NA),Czechia,Atriplex patula
Atriplex prostrata,,NT,Czechia,Atriplex prostrata subsp. latifolia
Atriplex prostrata subsp. latifolia,Atriplex prostrata,NT,Czechia,Atriplex prostrata subsp. latifolia
Atriplex rosea,Atriplex rosea,CR,Czechia,Atriplex rosea
Atriplex sagittata,Atriplex sagittata,LC(NA),Czechia,Atriplex sagittata
Atriplex semilunaris,,LC(NA),Czechia,Atriplex semilunaris
Atriplex sibirica,,LC(NA),Czechia,Atriplex sibirica
Atriplex tatarica,Atriplex tatarica,LC(NA),Czechia,Atriplex tatarica
Atropa bella-donna,Atropa bella-donna,LC(NA),Czechia,Atropa bella-donna
Aubrieta columnae,,LC(NA),Czechia,Aubrieta columnae
Aubrieta deltoidea,Aubrieta deltoidea,LC(NA),Czechia,Aubrieta deltoidea
Aurinia saxatilis,Aurinia saxatilis,NT,Czechia,Aurinia saxatilis
Aurinia saxatilis subsp. saxatilis,Aurinia saxatilis subsp. saxatilis,NT,Czechia,Aurinia saxatilis subsp. saxatilis
Avena barbata,Avena barbata,LC(NA),Czechia,Avena barbata
Avena brevis,,LC(NA),Czechia,Avena brevis
Avena fatua,Avena fatua,LC(NA),Czechia,Avena fatua
Avena sativa,Avena sativa,LC(NA),Czechia,Avena sativa
Avena sterilis,Avena sterilis,LC(NA),Czechia,Avena sterilis
Avena strigosa,Avena strigosa,RE,Czechia,Avena strigosa
Avenella flexuosa,Avenella flexuosa,LC(NA),Czechia,Avenella flexuosa
Avenella flexuosa,Avenella flexuosa subsp. flexuosa,LC(NA),Czechia,Avenella flexuosa
Axyris amaranthoides,Axyris amaranthoides,LC(NA),Czechia,Axyris amaranthoides
Azolla filiculoides,Azolla filiculoides,LC(NA),Czechia,Azolla filiculoides
Ballota nigra,Ballota nigra,LC(NA),Czechia,Ballota nigra
Barbarea stricta,Barbarea stricta,LC,Czechia,Barbarea stricta
Barbarea vulgaris subsp. arcuata,Barbarea vulgaris subsp. arcuata,DD,Czechia,Barbarea vulgaris subsp. arcuata
Bartsia alpina,Bartsia alpina,EN,Czechia,Bartsia alpina
Basella alba,,LC(NA),Czechia,Basella alba
Bassia laniflora,Bassia laniflora,RE,Czechia,Bassia laniflora
Bassia prostrata,Bassia prostrata,CR,Czechia,Bassia prostrata
Bassia scoparia,Bassia scoparia,LC(NA),Czechia,Bassia scoparia
Beckmannia eruciformis,Beckmannia eruciformis,LC(NA),Czechia,Beckmannia eruciformis
Beckmannia syzigachne,Beckmannia syzigachne,LC(NA),Czechia,Beckmannia syzigachne
Bellidiastrum michelii,Bellidiastrum michelii,LC(NA),Czechia,Bellidiastrum michelii
Bellis perennis,Bellis perennis,LC(NA),Czechia,Bellis perennis
Berberis julianae,,LC(NA),Czechia,Berberis julianae
Berberis thunbergii,Berberis thunbergii,LC(NA),Czechia,Berberis thunbergii
Berberis vulgaris,Berberis vulgaris,NT,Czechia,Berberis vulgaris
Bergenia crassifolia,,LC(NA),Czechia,Bergenia crassifolia
Berteroa incana,,LC(NA),Czechia,Berteroa incana subsp. incana
Berula erecta,Berula erecta,NT,Czechia,Berula erecta
Beta trigyna,Beta trigyna,LC(NA),Czechia,Beta trigyna
Beta vulgaris,Beta vulgaris,LC(NA),Czechia,Beta vulgaris
Betonica officinalis,Stachys officinalis,LC(NA),Czechia,Betonica officinalis
Betula alleghaniensis,,LC(NA),Czechia,Betula alleghaniensis
Betula humilis,Betula humilis,RE,Czechia,Betula humilis
Betula lenta,,LC(NA),Czechia,Betula lenta
Betula nana,Betula nana,EN,Czechia,Betula nana
Betula papyrifera,,LC(NA),Czechia,Betula papyrifera
Betula pendula,Betula pendula,LC(NA),Czechia,Betula pendula
Betula pendula var. oycoviensis,Betula pendula var. oycowiensis,EN,Czechia,Betula pendula var. oycoviensis
Betula petraea,,LC(NA),Czechia,Betula petraea
Betula pubescens subsp. carpatica,Betula pubescens var. glabrata,DD,Czechia,Betula pubescens subsp. carpatica
Betula pubescens subsp. pubescens,Betula pubescens var. pubescens,LC(NA),Czechia,Betula pubescens subsp. pubescens
Bidens cernua,Bidens cernuus,LC(NA),Czechia,Bidens cernua
Bidens connata,Bidens connatus,LC(NA),Czechia,Bidens connata
Bidens ferulifolia,,LC(NA),Czechia,Bidens ferulifolia
Bidens frondosa,Bidens frondosus,LC(NA),Czechia,Bidens frondosa
Bidens pilosa,Bidens pilosus,LC(NA),Czechia,Bidens pilosa
Bidens radiata,Bidens radiatus,LC(NA),Czechia,Bidens radiata
Bidens tripartita,Bidens tripartitus,LC(NA),Czechia,Bidens tripartita
Bidens tripartita,Bidens tripartitus subsp. tripartitus,LC(NA),Czechia,Bidens tripartita
Bifora radians,Bifora radians,CR,Czechia,Bifora radians
Biscutella laevigata,Biscutella laevigata,LC,Czechia,Biscutella laevigata
Biscutella laevigata subsp. varia,Biscutella laevigata subsp. varia,LC,Czechia,Biscutella laevigata subsp. varia
Bistorta affinis,,LC(NA),Czechia,Bistorta affinis
Bistorta amplexicaulis,Bistorta amplexicaulis,LC(NA),Czechia,Bistorta amplexicaulis
Bistorta officinalis,Bistorta officinalis,LC(NA),Czechia,Bistorta officinalis
Bistorta officinalis,,LC(NA),Czechia,Bistorta officinalis
Blechnum spicant,Blechnum spicant,LC,Czechia,Blechnum spicant
Blysmus compressus,Blysmus compressus,EN,Czechia,Blysmus compressus
Bolboschoenus glaucus,Bolboschoenus glaucus,LC(NA),Czechia,Bolboschoenus glaucus
Bolboschoenus laticarpus,Bolboschoenus laticarpus,LC,Czechia,Bolboschoenus laticarpus
Bolboschoenus maritimus,Bolboschoenus maritimus,VU,Czechia,Bolboschoenus maritimus
Bolboschoenus planiculmis,Bolboschoenus planiculmis,NT,Czechia,Bolboschoenus planiculmis
Bolboschoenus yagara,Bolboschoenus yagara,NT,Czechia,Bolboschoenus yagara
Borago officinalis,Borago officinalis,LC(NA),Czechia,Borago officinalis
Bothriochloa ischaemum,Bothriochloa ischaemum,NT,Czechia,Bothriochloa ischaemum
Botrychium lunaria,Botrychium lunaria,VU,Czechia,Botrychium lunaria
Botrychium matricariifolium,Botrychium matricariifolium,EN,Czechia,Botrychium matricariifolium
Botrychium multifidum,Botrychium multifidum,CR,Czechia,Botrychium multifidum
Botrychium simplex,Botrychium simplex,RE,Czechia,Botrychium simplex
Brachypodium pinnatum,Brachypodium pinnatum,LC(NA),Czechia,Brachypodium pinnatum
Brachypodium rupestre,Brachypodium rupestre,LC(NA),Czechia,Brachypodium rupestre
Brachypodium sylvaticum,Brachypodium sylvaticum subsp. sylvaticum,LC(NA),Czechia,Brachypodium sylvaticum
Brachypodium sylvaticum,Brachypodium sylvaticum,LC(NA),Czechia,Brachypodium sylvaticum
Brachyscome iberidifolia,,LC(NA),Czechia,Brachyscome iberidifolia
Brassica elongata,Brassica elongata,LC(NA),Czechia,Brassica elongata
Brassica juncea,,LC(NA),Czechia,Brassica juncea
Brassica napus,Brassica napus,LC(NA),Czechia,Brassica napus
Brassica nigra,Brassica nigra,LC(NA),Czechia,Brassica nigra
Brassica oleracea,Brassica oleracea,LC(NA),Czechia,Brassica oleracea
Brassica rapa,Brassica rapa,LC(NA),Czechia,Brassica rapa
Briza maxima,Briza maxima,LC(NA),Czechia,Briza maxima
Briza media,Briza media,LC(NA),Czechia,Briza media
Briza minor,Briza minor,LC(NA),Czechia,Briza minor
Bromus arvensis,Bromus arvensis,CR,Czechia,Bromus arvensis
Bromus benekenii,Bromopsis benekenii,LC(NA),Czechia,Bromus benekenii
Bromus briziformis,,LC(NA),Czechia,Bromus briziformis
Bromus bromoideus,,LC(NA),Czechia,Bromus bromoideus
Bromus carinatus,Ceratochloa carinata,LC(NA),Czechia,Bromus carinatus
Bromus catharticus,,LC(NA),Czechia,Bromus catharticus
Bromus catharticus,Ceratochloa cathartica,LC(NA),Czechia,Bromus catharticus
Bromus commutatus,Bromus commutatus,DD,Czechia,Bromus commutatus
Bromus diandrus var. rigidus,,LC(NA),Czechia,Bromus diandrus var. rigidus
Bromus erectus,Bromopsis erecta aggr.,LC(NA),Czechia,Bromus erectus
Bromus erectus,Bromopsis erecta,LC(NA),Czechia,Bromus erectus
Bromus erectus,Bromopsis erecta subsp. erecta,LC(NA),Czechia,Bromus erectus
Bromus erectus,,LC(NA),Czechia,Bromus erectus
Bromus hordeaceus,Bromus hordeaceus subsp. pseudothominei,LC(NA),Czechia,Bromus hordeaceus
Bromus hordeaceus,Bromus hordeaceus,LC(NA),Czechia,Bromus hordeaceus
Bromus inermis,Bromopsis inermis,LC(NA),Czechia,Bromus inermis
Bromus japonicus,Bromus japonicus,LC,Czechia,Bromus japonicus
Bromus lanceolatus,Bromus lanceolatus,LC(NA),Czechia,Bromus lanceolatus
Bromus lepidus,Bromus lepidus,LC(NA),Czechia,Bromus lepidus
Bromus madritensis,Anisantha madritensis,LC(NA),Czechia,Bromus madritensis
Bromus racemosus,Bromus racemosus,CR,Czechia,Bromus racemosus
Bromus ramosus,Bromopsis ramosa,NT,Czechia,Bromus ramosus
Bromus rubens,Anisantha rubens,LC(NA),Czechia,Bromus rubens
Bromus scoparius,Bromus scoparius,LC(NA),Czechia,Bromus scoparius
Bromus secalinus,,CR,Czechia,Bromus secalinus
Bromus secalinus,Bromus secalinus,CR,Czechia,Bromus secalinus
Bromus secalinus,Bromus secalinus subsp. secalinus,CR,Czechia,Bromus secalinus
Bromus squarrosus,Bromus squarrosus,CR,Czechia,Bromus squarrosus
Bromus sterilis,Anisantha sterilis,LC(NA),Czechia,Bromus sterilis
Bromus tectorum,Anisantha tectorum,LC(NA),Czechia,Bromus tectorum
Broussonetia papyrifera,Broussonetia papyrifera,LC(NA),Czechia,Broussonetia papyrifera
Brunnera macrophylla,Brunnera macrophylla,LC(NA),Czechia,Brunnera macrophylla
Bryonia alba,Bryonia alba,LC(NA),Czechia,Bryonia alba
Bryonia dioica,Bryonia dioica,LC(NA),Czechia,Bryonia dioica
Buddleja alternifolia,,LC(NA),Czechia,Buddleja alternifolia
Buddleja davidii,Buddleja davidii,LC(NA),Czechia,Buddleja davidii
Buglossoides arvensis,Buglossoides arvensis,LC(NA),Czechia,Buglossoides arvensis
Buglossoides incrassata,Buglossoides incrassata,LC(NA),Czechia,Buglossoides incrassata
Buglossoides purpurocaerulea,Aegonychon purpurocaeruleum,LC,Czechia,Buglossoides purpurocaerulea
Bunias erucago,Bunias erucago,LC(NA),Czechia,Bunias erucago
Bunias orientalis,Bunias orientalis,LC(NA),Czechia,Bunias orientalis
Bunium bulbocastanum,Bunium bulbocastanum,LC(NA),Czechia,Bunium bulbocastanum
Buphthalmum salicifolium,Buphthalmum salicifolium,EN,Czechia,Buphthalmum salicifolium
Bupleurum affine,Bupleurum affine,CR,Czechia,Bupleurum affine
Bupleurum croceum,,LC(NA),Czechia,Bupleurum croceum
Bupleurum falcatum,Bupleurum falcatum,LC(NA),Czechia,Bupleurum falcatum
Bupleurum falcatum,Bupleurum falcatum subsp. falcatum,LC(NA),Czechia,Bupleurum falcatum
Bupleurum longifolium,Bupleurum longifolium,EN,Czechia,Bupleurum longifolium
Bupleurum longifolium subsp. longifolium,Bupleurum longifolium,EN,Czechia,Bupleurum longifolium subsp. longifolium
Bupleurum longifolium subsp. vapincense,Bupleurum longifolium,EN,Czechia,Bupleurum longifolium subsp. vapincense
Bupleurum pachnospermum,Bupleurum pachnospermum,LC(NA),Czechia,Bupleurum pachnospermum
Bupleurum rotundifolium,Bupleurum rotundifolium,CR,Czechia,Bupleurum rotundifolium
Bupleurum tenuissimum,Bupleurum tenuissimum,CR,Czechia,Bupleurum tenuissimum
Butomus umbellatus,Butomus umbellatus,NT,Czechia,Butomus umbellatus
Buxus sempervirens,Buxus sempervirens,LC(NA),Czechia,Buxus sempervirens
Cakile maritima,Cakile maritima,LC(NA),Czechia,Cakile maritima
Calamagrostis arundinacea,Calamagrostis arundinacea,LC(NA),Czechia,Calamagrostis arundinacea
Calamagrostis canescens,Calamagrostis canescens,LC(NA),Czechia,Calamagrostis canescens
Calamagrostis canescens,Calamagrostis canescens subsp. canescens,LC(NA),Czechia,Calamagrostis canescens
Calamagrostis epigejos,Calamagrostis epigejos,LC(NA),Czechia,Calamagrostis epigejos
Calamagrostis pseudophragmites,Calamagrostis pseudophragmites,EN,Czechia,Calamagrostis pseudophragmites
Calamagrostis purpurea,Calamagrostis purpurea subsp. phragmitoides,VU,Czechia,Calamagrostis purpurea
Calamagrostis rivalis,,LC(NA),Czechia,Calamagrostis rivalis
Calamagrostis stricta,Calamagrostis neglecta,EN,Czechia,Calamagrostis stricta
Calamagrostis varia,Calamagrostis varia,EN,Czechia,Calamagrostis varia
Calamagrostis villosa,Calamagrostis villosa,LC(NA),Czechia,Calamagrostis villosa
Calandrinia compressa,,LC(NA),Czechia,Calandrinia compressa
Calendula arvensis,Calendula arvensis,LC(NA),Czechia,Calendula arvensis
Calendula officinalis,Calendula officinalis,LC(NA),Czechia,Calendula officinalis
Calla palustris,Calla palustris,NT,Czechia,Calla palustris
Callistephus chinensis,Callistephus chinensis,LC(NA),Czechia,Callistephus chinensis
Callitriche cophocarpa,Callitriche cophocarpa,LC(NA),Czechia,Callitriche cophocarpa
Callitriche hamulata,Callitriche hamulata,LC(NA),Czechia,Callitriche hamulata
Callitriche hermaphroditica,Callitriche hermaphroditica,CR,Czechia,Callitriche hermaphroditica
Callitriche palustris,Callitriche palustris,LC(NA),Czechia,Callitriche palustris
Callitriche platycarpa,Callitriche platycarpa,NT,Czechia,Callitriche platycarpa
Callitriche stagnalis,Callitriche stagnalis,LC(NA),Czechia,Callitriche stagnalis
Calluna vulgaris,Calluna vulgaris,LC(NA),Czechia,Calluna vulgaris
Caltha palustris subsp. cornuta,,DD,Czechia,Caltha palustris subsp. cornuta
Caltha palustris subsp. laeta,Caltha palustris,DD,Czechia,Caltha palustris subsp. laeta
Calycanthus floridus,,LC(NA),Czechia,Calycanthus floridus
Calystegia hederacea,,LC(NA),Czechia,Calystegia hederacea
Calystegia pulchra,Calystegia pulchra,LC(NA),Czechia,Calystegia pulchra
Calystegia sepium,Calystegia sepium,LC(NA),Czechia,Calystegia sepium
Camelina alyssum,Camelina alyssum,NA,Czechia,Camelina alyssum
Camelina alyssum subsp. alyssum,,NA,Czechia,Camelina alyssum subsp. alyssum
Camelina alyssum subsp. integerrima,,NA,Czechia,Camelina alyssum subsp. integerrima
Camelina laxa,Camelina laxa,LC(NA),Czechia,Camelina laxa
Camelina microcarpa,Camelina microcarpa,LC(NA),Czechia,Camelina microcarpa
Camelina rumelica,Camelina rumelica,LC(NA),Czechia,Camelina rumelica
Camelina sativa,Camelina sativa,LC(NA),Czechia,Camelina sativa
Campanula alliariifolia,Campanula alliariifolia,LC(NA),Czechia,Campanula alliariifolia
Campanula barbata,Campanula barbata,VU,Czechia,Campanula barbata
Campanula barbata,,VU,Czechia,Campanula barbata
Campanula bohemica,Campanula scheuchzeri,VU,Czechia,Campanula bohemica
Campanula bononiensis,Campanula bononiensis,VU,Czechia,Campanula bononiensis
Campanula cervicaria,Campanula cervicaria,CR,Czechia,Campanula cervicaria
Campanula gelida,Campanula scheuchzeri,EN,Czechia,Campanula gelida
Campanula gentilis,Campanula rotundifolia,NT,Czechia,Campanula gentilis
Campanula glomerata subsp. farinosa,Campanula glomerata,VU,Czechia,Campanula glomerata subsp. farinosa
Campanula lactiflora,Campanula lactiflora,LC(NA),Czechia,Campanula lactiflora
Campanula latifolia,Campanula latifolia,NT,Czechia,Campanula latifolia
Campanula medium,Campanula medium,LC(NA),Czechia,Campanula medium
Campanula moravica,,NT,Czechia,Campanula moravica
Campanula moravica,Campanula rotundifolia,NT,Czechia,Campanula moravica
Campanula patula,Campanula patula,LC(NA),Czechia,Campanula patula
Campanula patula,Campanula patula subsp. patula,LC(NA),Czechia,Campanula patula
Campanula persicifolia,Campanula persicifolia,LC(NA),Czechia,Campanula persicifolia
Campanula rapunculoides,Campanula rapunculoides,LC(NA),Czechia,Campanula rapunculoides
Campanula rapunculus,Campanula rapunculus,LC(NA),Czechia,Campanula rapunculus
Campanula rhomboidalis,Campanula rhomboidalis,LC(NA),Czechia,Campanula rhomboidalis
Campanula rotundifolia subsp. sudetica,Campanula rotundifolia,EN,Czechia,Campanula rotundifolia subsp. sudetica
Campanula sibirica,Campanula sibirica,NT,Czechia,Campanula sibirica
Campanula sibirica subsp. sibirica,Campanula sibirica,NT,Czechia,Campanula sibirica subsp. sibirica
Campanula thyrsoides,Campanula thyrsoides,LC(NA),Czechia,Campanula thyrsoides
Campanula trachelium,Campanula trachelium,LC(NA),Czechia,Campanula trachelium
Campsis radicans,Campsis radicans,LC(NA),Czechia,Campsis radicans
Canna indica,,LC(NA),Czechia,Canna indica
Cannabis sativa,Cannabis sativa,LC(NA),Czechia,Cannabis sativa
Capsella bursa-pastoris,Capsella bursa-pastoris,LC(NA),Czechia,Capsella bursa-pastoris
Capsella rubella,Capsella rubella,LC(NA),Czechia,Capsella rubella
Capsicum annuum,Capsicum annuum,LC(NA),Czechia,Capsicum annuum
Caragana arborescens,Caragana arborescens,LC(NA),Czechia,Caragana arborescens
