Taxon,habitat
Holosteum umbellatum,ruderal
Veronica agrestis,ruderal
Vicia sepium,ruderal
Cannabis sativa var. spontanea,ruderal
Diplotaxis muralis,ruderal
Hordeum murinum,ruderal
Centaurea stoebe,ruderal
Anchusa officinalis,ruderal
Potentilla reptans,ruderal
Verbena officinalis,ruderal
Clematis vitalba,ruderal
Tragopogon dubius,ruderal
Malva sylvestris var. sylvestris,ruderal
Avena sativa,ruderal
Artemisia annua,ruderal
Lepidium virginicum,ruderal
Sisymbrium orientale,ruderal
Sinapis alba,ruderal
Xanthium strumarium,ruderal
Dysphania ambrosioides,ruderal
Xanthium spinosum,ruderal
Artemisia monogyna,ruderal
Armoracia rusticana,ruderal
Eragrostis cilianensis,ruderal
Hyoscyamus niger,ruderal
Artemisia campestris,ruderal
Galium parisiense,ruderal
Corispermum pallasii,ruderal
Tragus racemosus,ruderal
Oxalis dillenii,ruderal
Amaranthus crispus,ruderal
Achillea millefolium agg.,ruderal
Taraxacum sect. Taraxacum,ruderal
Equisetum palustre,ruderal
Oenothera biennis,ruderal
Arabidopsis arenosa,ruderal
Erysimum witmannii,ruderal
Hackelia deflexa,ruderal
Bromus pannonicus subsp. monocladus,ruderal
Centaurea scabiosa ssp. alpestris,ruderal
Sisymbrium austriacum,ruderal
Arabis auriculata,ruderal
Draba aizoides,ruderal
Chenopodium foliosum,ruderal
Senecio umbrosus,ruderal
Sisymbrium strictissimum,ruderal
Arabis turrita,ruderal
Papaver alpinum subsp. tatricum,ruderal
Bellidiastrum michelii,ruderal
Calamagrostis varia,ruderal
Cortusa matthioli,ruderal
Crepis jacquinii s.lat.,ruderal
Gymnocarpium robertianum,ruderal
Moehringia muscosa,ruderal
Pinguicula alpina,ruderal
Bromus squarrosus,ruderal
Potentilla supina,ruderal
Rumex obtusifolius,ruderal
Cirsium eriophorum,ruderal
Cynoglossum officinale,ruderal
Marrubium vulgare,ruderal
Marrubium x paniculatum,ruderal
Stachys germanica,ruderal
Xeranthemum annuum,ruderal
Hypericum perforatum,ruderal
Festuca pulchra,ruderal
Medicago minima,ruderal
Sedum acre,ruderal
Ambrosia artemisiifolia,ruderal
Epilobium dodonaei,ruderal
Dipsacus fullonum,ruderal
Erysimum virgatum,ruderal
